Property ID,Property Name,Sub-Entity,Parent Entity,Jurisdiction,State,Property Type,Close Date,Amount Due,Previous Year Taxes,Extraction Steps,Acct Number,Property Address,Tax Bill Link
0647afda-e37a-4044-83df-89b1a44a6f35,"17017 N CAVE CREEK ROAD PHOENIX, AZ 85032 (Jack In The Box Inc.)",,BCS Phoenix Bell LLC,Maricopa,AZ,property,7/22/21,$0.00 ,"	$7,078.40",1. Enter 214-05-025A in Parcel Number Form,214-05-025A,"17017 N CAVE CREEK RD
PHOENIX, AZ 85032",https://treasurer.maricopa.gov/
227cece5-26e4-4f96-a81c-4b2eec6d7ce5,"2404 E BELL ROAD PHOENIX, AZ 85032 (BATTERIES)",,BCS Phoenix Bell LLC,Maricopa,AZ,property,7/22/21,$0.00 ,"$5,084.00 ",1. Enter 214-05-025B in Parcel Number Form,214-05-025B,"2404 E BELL RD
PHOENIX, AZ 85032",https://treasurer.maricopa.gov/
b5592949-d5ed-4f0d-bc2d-0a23dba9f558,3202 Riley Fuzzell Rd - (8.875 acres),3202 Riley Fuzzell Rd - (18.1 acres):,BCS Birnham Woods LLC (TX),Montgomery,TX,property,,$0.00 ,"$6,530.32 ","1. Direct Link
2. ""Current Amount Due""",0003510100300',"3202 RILEY FUZZELL RD
77386",https://actweb.acttax.com/act_webdev/montgomery/showdetail2.jsp?can=0003510100300&ownerno=0
77ede50c-3a06-444f-834e-989d3f300fba,3202 Riley Fuzzell Rd - (8.875 acres) - Improvements Only (Tract 3-A),3203 Riley Fuzzell Rd - (18.1 acres):,BCS Birnham Woods LLC (TX),Montgomery,TX,property,,$0.00 ,"$1,664.27 ","1. Direct Link
2. ""Current Amount Due""",0003510100306',"3150 RILEY FUZZELL RD
77386",https://actweb.acttax.com/act_webdev/montgomery/showdetail2.jsp?can=0003510100306&ownerno=0
11adeda0-72fa-44b6-a0f6-20eb4a83c62e,3202 Riley Fuzzell Rd - Mobile Home - (0.0 acres),3204 Riley Fuzzell Rd - (18.1 acres):,BCS Birnham Woods LLC (TX),Montgomery,TX,property,,$0.00 ,$369.54 ,"1. Direct Link
2. ""Current Amount Due""",3510100305,"3202 RILEY FUZZELL RD
77386",https://actweb.acttax.com/act_webdev/montgomery/showdetail2.jsp?can=0003510100305&ownerno=0
6861b24b-230f-4d1d-bd9a-3fe8a567bd1d,3203 Riley Fuzzell Rd - (9.244 acres),3205 Riley Fuzzell Rd - (18.1 acres):,BCS Birnham Woods LLC (TX),Montgomery,TX,property,,$0.00 ,"$5,110.32 ","1. Direct Link
2. ""Current Amount Due""",3510100310,"3203 RILEY FUZZELL RD
77386",https://actweb.acttax.com/act_webdev/montgomery/showdetail2.jsp?can=0003510100310&ownerno=0
7b76e43f-6128-46af-90ad-13c4a0f63746,BCS Aldine LLC - Aldine ISD,,BCS Aldine LLC (TX),Aldine ISD,TX,property,12/14/20,$0.00 ,"$19,818.47 ","1. Direct Link
2. ""Due Amount""",1.29E+12,3035 FM 1960 RD,https://tax.aldine.k12.tx.us/Accounts/AccountDetails?taxAccountNumber=1289610010003
338e8462-ab0a-4026-9608-abd19a46b576,BCS Aldine LLC - Memorial Hills UD,,BCS Aldine LLC (TX),Memorial Hills UD,TX,property,12/14/20,$0.00 ,"$12,345.34 ","1. Links to search page
2. Enter BCS in ""search criteria"" form
3. Click BCS Aldine",R000061072,3035 FM 1960 RD,https://equitax.azurewebsites.net/search/list
5b934179-a5c0-48f3-84a8-7ef846c6fb6f,"BCS Auto Properties LLC - 1204 Federal Rd, Houston",,BCS Auto Properties LLC (TX),Harris,TX,property,7/30/25,$0.00 ,"$19,475.89 ","1. Direct Link
2. ""Final Total Amount Due""",069-039-000-0111,1204 FEDERAL RD 77015,https://www.hctax.net/property/TaxStatement?account=H121C5X068PKoeFCzGBdue+rsqT9Ldjc83+oKTkml9U=
f81ec7fe-6f67-49c9-9ba3-8e9daf06780d,"BCS Auto Properties LLC - 302 W Calton Rd, Laredo",,BCS Auto Properties LLC (TX),Webb,TX,property,7/30/25,$0.00 ,"$7,265.50 ","1. Enter account number in form field 90500079011
2. Click the account number as link",90500079011,"302 W. Calton Rd., Laredo",https://webb.go2gov.net/webb/cart/search/display.do?criteria.searchStatus=1
4a6c578d-73ba-46ba-ab97-b38f09dffdba,BCS Baytown Grove LLC - 0 INTERSTATE 10 HWY (11.49 Acres),,BCS Baytown Grove LLC,Harris,TX,property,4/10/24,$0.00 ,"$7,048.08 ","1. Direct Link
2. ""Final Total Amount Due""",046-054-000-0110,0 INTERSTATE 10 HWY 77521,https://www.hctax.net/property/TaxStatement?account=QSwzVbdqmlLu7JpRwBhtTHJe2U8ZwsULJKmM+zQxijg=
f7ae1b0f-3253-4a4d-9294-ecefa1556a02,BCS Baytown Grove LLC - 7122 INTERSTATE 10 HWY (1 Acre),,BCS Baytown Grove LLC,Harris,TX,property,4/10/24,$0.00 ,"$1,590.86 ","1. Direct Link
2. ""Final Total Amount Due""",046-054-000-0001,7122 INTERSTATE 10 HWY 77521,https://www.hctax.net/Property/TaxStatement?account=QSwzVbdqmlLu7JpRwBhtTLkPWVvMHLTj2ipqUuj7pD0=
96277965-e609-450a-a0ee-31e55b2cac8b,BCS Baytown Grove LLC - 7126 INTERSTATE 10 HWY (33.3790 Acres),,BCS Baytown Grove LLC,Harris,TX,property,4/10/24,$0.00 ,"$12,132.49 ","1. Direct Link
2. ""Final Total Amount Due""",046-054-000-0004,7126 INTERSTATE 10 HWY 77521,https://www.hctax.net/Property/TaxStatement?account=QSwzVbdqmlLu7JpRwBhtTOseTO/L05AYNdW1lRVorwI=
6125d409-7cd9-43df-a634-685014b8156a,BCS Baytown Grove LLC - 7130 INTERSTATE 10 HWY (1.0514 Acres),,BCS Baytown Grove LLC,Harris,TX,property,4/10/24,$0.00 ,"$1,732.33 ","1. Direct Link
2. ""Final Total Amount Due""",046-054-000-0003,7130INTERSTATE 10 HWY 77521,https://www.hctax.net/Property/TaxStatement?account=QSwzVbdqmlLu7JpRwBhtTIHqdD0idrahbB5hiq0KUFM=
cf8a5840-3f2d-4d1f-870d-e4420ca29f34,BCS Baytown Grove LLC - Goose Creek ISD (1 Acre),BCS Baytown Grove LLC - Goose Creek ISD: (Total 35.430 Acres) - Pending 11 Acre Bill?,BCS Baytown Grove LLC,Goose Creek ISD,TX,property,4/10/24,$0.00 ,"$5,143.62 ","1. Direct Link
2. ""Due Amount""",4.61E+11,0007122 INTERSTATE 10 HWY,https://tax.gccisd.net/Accounts/AccountDetails?taxAccountNumber=0460540000001
a1a634cc-7327-4d66-a54f-f45c145fabb8,BCS Baytown Grove LLC - Goose Creek ISD (1.0514 Acres),BCS Baytown Grove LLC - Goose Creek ISD: (Total 35.430 Acres) - Pending 11 Acre Bill?,BCS Baytown Grove LLC,Goose Creek ISD,TX,property,4/10/24,$0.00 ,"$5,600.99 ","1. Direct Link
2. ""Due Amount""",4.61E+11,0007130 INTERSTATE 10 HWY,https://tax.gccisd.net/Accounts/AccountDetails?taxAccountNumber=0460540000003
6f6591a5-cbfd-4e19-a6af-69247124e789,BCS Baytown Grove LLC - Goose Creek ISD (11.49 Acres),BCS Baytown Grove LLC - Goose Creek ISD: (Total 35.430 Acres) - Pending 11 Acre Bill?,BCS Baytown Grove LLC,Goose Creek ISD,TX,property,4/10/24,$0.00 ,"$22,787.92 ","1. Direct Link
2. ""Due Amount""",4.61E+11,0000000 INTERSTATE 10 HWY,https://tax.gccisd.net/Accounts/AccountDetails?TaxAccountNumber=0460540000110&SortOrder=1&DisplayYear=2
015a2e65-b4a8-4f0d-ae87-ca26c9107024,BCS Baytown Grove LLC - Goose Creek ISD (33.379 Acres),BCS Baytown Grove LLC - Goose Creek ISD: (Total 35.430 Acres) - Pending 11 Acre Bill?,BCS Baytown Grove LLC,Goose Creek ISD,TX,property,4/10/24,$0.00 ,"$39,226.93 ","1. Direct Link
2. ""Due Amount""",4.61E+11,0007126 INTERSTATE 10 HWY,https://tax.gccisd.net/Accounts/AccountDetails?taxAccountNumber=0460540000004
e32f3d40-f1ee-449a-ae52-051671af33db,BCS Bethlehem LLC (TX) - Bethlehem Area School District,,BCS Bethlehem LLC (TX),Bethlehem SD,PA,property,12/22/21,"$8,567.88 ",none,"1. Direct Link
2. Under ""Payment Amount""",000840-009791,4440 EASTON AVE,https://pay.eb2gov.com/Service/EPayGetBills?ID=566&TownCode=9220&TownCodeMasterID=189&Source=PT&SourceID=566&propid=023024
a87e5a25-7430-47f6-9890-ec4fba7c8442,BCS Bethlehem LLC (TX) - Bethlehem Township,,BCS Bethlehem LLC (TX),Bethlehem Township,PA,property,12/22/21,$639.86 ,none,used google drive pdfs,000840-009791,4440 EASTON AVE,https://customer.hab-inc.com/pub/MiscTax/GetBalance
b06947a6-efdc-4f4b-b854-d89d6c307669,BCS Bethlehem LLC (TX) - Bethlehem Township (Annual Stormwater Fee),,BCS Bethlehem LLC (TX),Bethlehem Township,PA,property,12/22/21,"$1,049.84 ",none,used google drive pdfs,000840-009791,4440 EASTON AVE,https://customer.hab-inc.com/pub/MiscTax/GetBalance
3ea046f5-784c-44de-ae34-52baabc5fcfb,BCS Birnham Woods LLC (TX) - ParkwayRayford 42 - Spring Creek U.D. - (1.59 acres),,BCS Birnham Woods LLC (TX),Spring Creek U.D.,TX,property,,$0.00 ,"$1,295.29 ","1. Direct Link
2. ""Due for…"" text line",45937300,RAYFORD ROAD CROSSING,https://www.utilitytaxservice.com/AcctDetail/MSC/45937300
ec3012cc-fea8-4a9b-a259-5bf937c7ee47,BCS Birnham Woods LLC (TX) - Spring Creek U.D. - (8.875 acres),,BCS Birnham Woods LLC (TX),Spring Creek U.D.,TX,property,,$0.00 ,"$3,658.96 ","1. Direct Link
2. ""Due for…"" text line",4816800,"3202 RILEY FUZZELL RD
SPRING 77386",https://www.utilitytaxservice.com/AcctDetail/MSC/04816800
2f179758-db94-4d7a-8424-0d847a340d4c,BCS Birnham Woods LLC (TX) - Spring Creek U.D. - (9.244 acres),,BCS Birnham Woods LLC (TX),Spring Creek U.D.,TX,property,,$0.00 ,"$2,863.33 ","1. Direct Link
2. ""Due for…"" text line",4817000,"3203 RILEY FUZZELL RD
SPRING 77386",https://www.utilitytaxservice.com/AcctDetail/MSC/04817000
310dc0da-b2dd-4f69-a474-fe8be3150769,"BCS Clutch Shepherd LLC - 0 THORNTON RD HOUSTON, TX 77018 (0.342 Acre)",,BCS Clutch Shepherd LLC (TX),Harris,TX,property,3/11/22,$0.00 ,"$6,852.31 ","1. Direct Link
2. ""Final Total Amount Due""",138-515-001-0001,"0 THORNTON RD HOUSTON, TX 77018",https://www.hctax.net/Property/TaxStatement?account=JAXBZDqeP+CKCK2S21TI3Y6QtCiR2kFDFSYLF66T+cc=
f64e4809-e0d0-48ea-a587-3ed2b3834740,"BCS Clutch Shepherd LLC - 4610 N SHEPHERD DR HOUSTON, TX 77018 (0.8412 Acres) - Clutch",,BCS Clutch Shepherd LLC (TX),Harris,TX,property,3/11/22,$0.00 ,"$36,835.21 ","1. Direct Link
2. ""Total Current Taxes Due""",138-515-001-0004,"4610 N SHEPHERD DR HOUSTON, TX 77018",https://www.hctax.net/Property/TaxStatement?account=JAXBZDqeP+CKCK2S21TI3eLWfmrhuAWX9B7SeXmvxN4=
de37b669-f37a-4e41-a119-c22148c7e13d,"BCS Clutch Shepherd LLC - 4610 N SHEPHERD DR HOUSTON, TX 77018 Now (0.963 Acres) -  (PY 1.8042 Acres)",,BCS Clutch Shepherd LLC (TX),Harris,TX,property,3/11/22,$0.00 ,"$26,331.75 ","1. Direct Link
2. ""Final Total Amount Due""",138-515-001-0002,"4610 N SHEPHERD DR HOUSTON, TX 77018",https://www.hctax.net/Property/TaxStatement?account=JAXBZDqeP+CKCK2S21TI3U0wxL9usUCMOPx6orETmAY=
f788e426-ea34-49ca-a20e-996388acdfef,BCS Conroe Davis LLC - Improvements,,BCS Conroe Davis LLC,Montgomery,TX,property,12/20/24,$0.00 ,$0.00 ,"1. Direct Link
2. Total Amount Due",1.91E+12,"2116 W DAVIS ST
77304",https://actweb.acttax.com/act_webdev/montgomery/showdetail2.jsp?can=1910018224412&ownerno=0
769e1476-1fd4-4b7d-a065-51d4993955bf,BCS Humble LLC - 4.8651 Acres,,BCS Humble LLC,Harris,TX,property,5/18/23,$0.00 ,"$31,418.58 ","1. Direct Link
2. ""Final Total Amount Due""",42-796-001-0001,9435 FM 1960 BYPASS RD W 77338,https://www.hctax.net/Property/TaxStatement?account=8qkZXsVNHomOFw9TVPqs+xmvCp2keJ24TOejPl2lx9Y=
e1f58e2e-022e-4aaa-bcbc-0edc8d5aa2cb,"BCS Hunt Road LLC - 32323 Hunt Rd - Tract 14 (Pt),  1 Acre, (Pt of a 8.7778 acre tract)",,BCS Hunt Road LLC (TX) - 23.23 acres,Fort Bend,TX,property,11/17/22,$0.00 ,,"1. Direct Link
2. Taxes Due for 2024",1.70E+13,"32323 HUNT RD
77423",https://actweb.acttax.com/act_webdev/fbc/showdetail2.jsp?can=0017000000140901
d5947be7-b317-4584-811b-fc556a86fc87,"BCS Hunt Road LLC - 32323 Hunt Rd - Tract 14 (Pt),  7.7778 Acres, (Pt of a 8.7778 acre tract)",,BCS Hunt Road LLC (TX) - 23.23 acres,Fort Bend,TX,property,11/17/22,$0.00 ,,"1. Direct Link
2. Taxes Due for 2024",1.70E+13,32323 HUNT RD,https://actweb.acttax.com/act_webdev/fbc/showdetail2.jsp?can=0017000000142901
